trackRefNum	xDistanceInPx	yDistanceInPx	totDistanceInPx	xDistanceInNm	yDistanceInNm	totDistanceInNm
260668272.00	-1.01	-47.42	47.43	-74.64	-2929.90	2930.85
260668368.00	-0.93	-47.52	47.53	-69.20	-2936.27	2937.09
260668368.00	-0.93	-47.34	47.35	-69.16	-2924.96	2925.78
260668576.00	-0.73	-47.53	47.53	-54.12	-2936.61	2937.11
260668672.00	-1.13	-47.36	47.37	-83.93	-2926.24	2927.44
260668768.00	-1.10	-47.29	47.30	-81.21	-2922.04	2923.17
260668864.00	-1.09	-47.30	47.31	-80.50	-2922.68	2923.79
260668864.00	-1.08	-47.21	47.23	-80.30	-2917.37	2918.47
260669072.00	-1.06	-47.49	47.51	-78.55	-2934.65	2935.71
260669072.00	-1.08	-47.39	47.40	-80.02	-2928.31	2929.40
260669280.00	-0.96	-47.28	47.29	-71.12	-2921.60	2922.46
260669280.00	-0.82	-47.40	47.41	-60.72	-2928.86	2929.49
260669472.00	-0.85	-47.63	47.64	-62.88	-2943.13	2943.80
260669472.00	-1.04	-47.42	47.43	-77.16	-2929.81	2930.82
260669568.00	-0.95	-47.56	47.57	-70.46	-2938.84	2939.68
260669696.00	-0.87	-47.47	47.48	-64.79	-2933.26	2933.97
260669776.00	-1.05	-47.46	47.47	-77.60	-2932.35	2933.38
260669872.00	-1.01	-47.33	47.35	-74.51	-2924.81	2925.76
260669968.00	-1.06	-47.31	47.32	-78.22	-2923.27	2924.31
260669968.00	-1.22	-47.35	47.36	-90.29	-2925.53	2926.93
260670176.00	-1.03	-47.40	47.41	-76.15	-2928.64	2929.63
260670272.00	-0.94	-47.38	47.39	-69.69	-2927.76	2928.59
260670272.00	-1.15	-47.40	47.41	-84.82	-2928.81	2930.04
260670464.00	-1.18	-47.32	47.33	-87.76	-2923.83	2925.15
260670464.00	-0.87	-47.42	47.43	-64.32	-2930.13	2930.84
260670576.00	-0.83	-47.44	47.45	-61.54	-2931.28	2931.93
260670672.00	-0.90	-47.20	47.21	-66.45	-2916.62	2917.38
260670768.00	-1.21	-47.37	47.38	-89.53	-2926.90	2928.27
260670880.00	-1.13	-47.52	47.53	-83.92	-2936.32	2937.52
260670976.00	-1.05	-47.49	47.51	-77.57	-2934.66	2935.68
260671072.00	-0.98	-47.67	47.68	-72.68	-2945.81	2946.70
260671168.00	-1.16	-47.20	47.21	-86.19	-2916.41	2917.68
260671264.00	-1.08	-47.48	47.49	-80.10	-2933.84	2934.93
260671264.00	-0.91	-47.49	47.50	-67.22	-2934.28	2935.05
260671376.00	-1.13	-47.86	47.87	-83.79	-2957.01	2958.20
