trackRefNum	xPositionInMm	yPositionInMm	yPositionInMm
8568967.00000	5.23490	-0.03975	0.23721
8570266.00000	5.23490	-0.03975	0.23721
8571568.00000	5.23490	-0.03975	0.23721
8572867.00000	5.23490	-0.03975	0.23721
8574166.00000	5.23490	-0.03975	0.23721
8575469.00000	5.23490	-0.03975	0.23721
8576767.00000	5.23490	-0.03975	0.23721
8578166.00000	5.23490	-0.03975	0.23721
8579467.00000	5.23490	-0.03975	0.23721
8580767.00000	5.23490	-0.03975	0.23721
8582068.00000	5.23490	-0.03975	0.23721
8583366.00000	5.23490	-0.03975	0.23721
8584668.00000	5.23490	-0.03975	0.23721
8585983.00000	5.23490	-0.03975	0.23721
8587268.00000	5.23490	-0.03975	0.23721
8588567.00000	5.23490	-0.03975	0.23721
8589866.00000	5.23490	-0.03975	0.23721
8591166.00000	5.23490	-0.03975	0.23721
8592466.00000	5.23490	-0.03975	0.23721
8593767.00000	5.23490	-0.03975	0.23721
8595069.00000	5.23490	-0.03975	0.23721
8596468.00000	5.23490	-0.03975	0.23721
8597767.00000	5.23490	-0.03975	0.23721
8599068.00000	5.23490	-0.03975	0.23721
8600367.00000	5.23490	-0.03975	0.23721
8601667.00000	5.23490	-0.03975	0.23721
8602966.00000	5.23490	-0.03975	0.23721
8604269.00000	5.23490	-0.03975	0.23721
8605568.00000	5.23490	-0.03975	0.23721
8606867.00000	5.23490	-0.03975	0.23721
8608168.00000	5.23490	-0.03975	0.23721
8609467.00000	5.23490	-0.03975	0.23721
8610768.00000	5.23490	-0.03975	0.23721
8612067.00000	5.23490	-0.03975	0.23721
8613467.00000	5.23490	-0.03975	0.23721
8614767.00000	5.23490	-0.03975	0.23721
8616068.00000	5.23490	-0.03975	0.23721
8617367.00000	5.23490	-0.03975	0.23721
8618668.00000	5.23490	-0.03975	0.23721
8619967.00000	5.23490	-0.03975	0.23721
8621267.00000	5.23490	-0.03975	0.23721
8622567.00000	5.23490	-0.03975	0.23721
8623867.00000	5.23490	-0.03975	0.23721
8625167.00000	5.23490	-0.03975	0.23721
8626468.00000	5.23490	-0.03975	0.23721
8627767.00000	5.23490	-0.03975	0.23721
8629072.00000	5.23490	-0.03975	0.23721
8630368.00000	5.23490	-0.03975	0.23721
8631668.00000	5.23490	-0.03975	0.23721
8632967.00000	5.23490	-0.03975	0.23721
