trackRefNum	xDistanceInPx	yDistanceInPx	totDistanceInPx	xDistanceInNm	yDistanceInNm	totDistanceInNm
259701584.00	-0.93	-43.85	43.86	-68.77	-2709.58	2710.46
259701680.00	-1.16	-43.56	43.57	-85.71	-2691.52	2692.88
259701776.00	-1.02	-43.91	43.92	-75.58	-2713.11	2714.16
259701888.00	1.01	43.92	43.93	75.12	2713.71	2714.75
259701888.00	-1.11	-43.96	43.97	-82.57	-2716.15	2717.41
259702080.00	-0.96	-43.87	43.88	-70.79	-2710.72	2711.64
259702080.00	-0.93	-43.83	43.84	-69.18	-2708.51	2709.39
259702288.00	-1.03	-44.16	44.18	-75.97	-2728.90	2729.96
259702384.00	-1.06	-43.80	43.82	-78.51	-2706.63	2707.77
259702480.00	-0.87	-43.67	43.68	-64.55	-2698.24	2699.01
259702592.00	-1.03	-43.99	44.00	-75.97	-2717.94	2719.00
259702688.00	-0.98	-43.78	43.79	-72.56	-2705.23	2706.21
259702784.00	-1.05	-43.93	43.94	-77.52	-2714.31	2715.41
259702784.00	-1.22	-43.85	43.86	-90.65	-2709.36	2710.88
259702896.00	-1.04	-44.07	44.09	-76.98	-2723.36	2724.44
259702976.00	-0.93	-44.07	44.08	-69.01	-2723.18	2724.05
259703104.00	-1.09	-44.01	44.03	-80.42	-2719.65	2720.84
259703184.00	1.13	43.63	43.64	83.89	2695.63	2696.93
259703280.00	-1.05	-43.66	43.67	-77.66	-2697.68	2698.79
259703392.00	-0.97	-43.81	43.82	-71.92	-2706.82	2707.78
259703488.00	-0.98	-43.95	43.96	-72.76	-2715.49	2716.47
259703584.00	-1.05	-43.81	43.82	-77.84	-2706.99	2708.11
259703680.00	-0.97	-44.05	44.06	-72.03	-2721.78	2722.74
259703680.00	-1.05	-43.95	43.96	-77.42	-2715.42	2716.52
259703776.00	-0.97	-43.76	43.77	-72.22	-2703.67	2704.64
259703888.00	-0.98	-43.96	43.97	-72.65	-2716.16	2717.14
259703984.00	-1.06	-43.74	43.75	-78.24	-2702.65	2703.78
259704080.00	-1.02	-43.80	43.82	-75.75	-2706.63	2707.69
259704176.00	0.95	43.86	43.87	70.64	2710.25	2711.17
259704288.00	-1.23	-43.90	43.91	-91.18	-2712.40	2713.93
259704384.00	-1.11	-43.63	43.65	-81.94	-2696.10	2697.34
259704480.00	-0.99	-43.95	43.96	-73.20	-2715.50	2716.49
259704480.00	-1.10	-43.69	43.70	-81.12	-2699.61	2700.83
259704576.00	1.11	43.68	43.69	81.89	2699.00	2700.25
259704688.00	-1.02	-44.03	44.05	-75.81	-2720.88	2721.93
259704784.00	-0.81	-43.96	43.97	-60.26	-2716.38	2717.05
259704880.00	-0.99	-43.76	43.77	-73.27	-2704.11	2705.10
259704976.00	-0.79	-42.26	42.27	-58.49	-2611.18	2611.84
259705088.00	-1.06	-42.66	42.67	-78.68	-2635.87	2637.04
259705184.00	-0.97	-42.51	42.52	-71.52	-2626.90	2627.88
259705296.00	-1.02	-41.94	41.95	-75.42	-2591.23	2592.33
259705296.00	-0.94	-42.56	42.57	-69.45	-2629.62	2630.53
259705376.00	-0.71	-41.86	41.86	-52.62	-2586.38	2586.92
259705488.00	0.93	42.59	42.60	68.90	2631.47	2632.38
259705680.00	-0.89	-42.25	42.26	-65.57	-2610.58	2611.40
259705680.00	-0.93	-42.20	42.21	-68.59	-2607.61	2608.51
259705776.00	0.92	41.97	41.98	68.30	2593.54	2594.44
259705984.00	-0.88	-42.24	42.25	-65.32	-2609.88	2610.69
259705984.00	-0.94	-42.19	42.20	-69.92	-2607.06	2608.00
259706096.00	-1.00	-42.26	42.27	-73.76	-2611.29	2612.33
259706176.00	-1.05	-42.12	42.13	-77.97	-2602.45	2603.62
259706288.00	-1.02	-42.28	42.29	-75.74	-2612.21	2613.31
259706384.00	-0.99	-42.26	42.27	-73.19	-2611.24	2612.27
259706480.00	-0.89	-42.22	42.23	-66.20	-2608.53	2609.37
259706576.00	-1.00	-42.42	42.43	-73.83	-2621.30	2622.34
259706688.00	-0.85	-42.14	42.15	-63.09	-2603.99	2604.76
259706688.00	-0.77	-42.22	42.23	-57.18	-2608.67	2609.30
259706784.00	-0.98	-42.26	42.27	-72.86	-2611.45	2612.47
259706880.00	-0.89	-42.41	42.41	-65.80	-2620.24	2621.07
259706992.00	-0.90	-42.24	42.25	-66.85	-2609.76	2610.61
259707088.00	0.92	42.54	42.55	68.47	2628.35	2629.24
259707184.00	-1.02	-42.17	42.18	-75.75	-2605.38	2606.48
259707280.00	-0.96	-42.78	42.79	-71.05	-2643.28	2644.23
259707280.00	-0.89	-42.41	42.41	-65.95	-2620.22	2621.05
259707376.00	-1.10	-42.42	42.43	-81.25	-2621.16	2622.41
259707504.00	-1.04	-42.28	42.29	-77.01	-2612.28	2613.42
259707584.00	0.90	42.66	42.67	67.03	2636.11	2636.96
259707680.00	-1.08	-42.33	42.35	-80.10	-2615.85	2617.08
259707776.00	-1.15	-42.08	42.09	-85.08	-2599.83	2601.22
259707888.00	1.06	42.59	42.60	78.88	2631.45	2632.63
259707984.00	-0.96	-42.50	42.51	-71.41	-2626.16	2627.13
259708096.00	1.02	42.22	42.23	75.43	2608.75	2609.84
259708096.00	0.97	42.49	42.50	71.69	2625.66	2626.64
259708288.00	-1.00	-42.35	42.36	-73.75	-2616.73	2617.77
259708288.00	-1.04	-42.12	42.13	-77.28	-2602.44	2603.59
259708384.00	-0.89	-42.09	42.10	-65.68	-2600.97	2601.80
259708480.00	-1.06	-42.28	42.30	-78.42	-2612.64	2613.82
259708576.00	-1.01	-41.89	41.90	-74.76	-2588.52	2589.60
259708688.00	-0.95	-42.28	42.29	-70.01	-2612.34	2613.28
259708880.00	-0.96	-42.11	42.12	-71.48	-2601.94	2602.92
259708880.00	1.02	42.40	42.41	75.30	2619.78	2620.86
259708976.00	-0.82	-42.58	42.59	-60.51	-2631.07	2631.77
259709088.00	-0.92	-42.54	42.55	-67.86	-2628.82	2629.69
259709184.00	-0.98	-42.36	42.37	-72.90	-2617.24	2618.25
259709280.00	0.82	42.93	42.94	60.48	2652.56	2653.25
259709280.00	-0.90	-41.97	41.98	-66.88	-2593.12	2593.98
259709376.00	-0.88	-42.52	42.53	-65.37	-2627.10	2627.92
259709488.00	-0.89	-42.52	42.53	-65.76	-2627.60	2628.42
259709584.00	-0.98	-42.09	42.10	-72.66	-2600.72	2601.73
259709680.00	-0.89	-42.59	42.60	-66.09	-2631.84	2632.67
259709888.00	-0.98	-42.33	42.34	-72.72	-2615.66	2616.67
259709984.00	0.63	40.75	40.75	46.89	2517.82	2518.25
259710080.00	0.87	40.89	40.90	64.54	2526.39	2527.21
259710176.00	0.62	40.93	40.93	45.80	2528.92	2529.34
259710288.00	-0.92	-40.29	40.30	-68.39	-2489.38	2490.32
259710288.00	-0.74	-40.82	40.83	-54.88	-2522.38	2522.98
259710384.00	0.85	41.04	41.05	63.32	2535.64	2536.44
259710480.00	0.87	40.85	40.86	64.25	2523.99	2524.81
259710576.00	0.64	41.08	41.08	47.07	2538.23	2538.67
259710688.00	0.82	40.99	41.00	60.81	2532.76	2533.49
259710784.00	1.03	41.03	41.04	76.14	2535.33	2536.47
259710880.00	0.89	41.02	41.03	66.09	2534.81	2535.67
259710976.00	0.86	41.24	41.25	63.96	2548.05	2548.86
259711088.00	-0.98	-40.39	40.41	-72.81	-2495.96	2497.02
259711088.00	0.69	40.91	40.92	50.78	2527.82	2528.33
259711280.00	-0.64	-40.92	40.92	-47.64	-2528.42	2528.87
259711280.00	0.65	41.23	41.23	48.30	2547.56	2548.01
259711488.00	-0.91	-40.92	40.93	-67.68	-2528.62	2529.53
259711488.00	-0.66	-41.33	41.34	-48.77	-2553.99	2554.45
259711680.00	0.96	41.27	41.28	71.13	2550.31	2551.30
259711680.00	0.88	41.02	41.03	64.86	2534.66	2535.49
259711888.00	0.88	40.81	40.82	65.07	2521.91	2522.75
259711888.00	-0.87	-41.02	41.03	-64.55	-2534.93	2535.75
259711984.00	0.93	40.87	40.88	69.12	2525.49	2526.43
259712080.00	0.91	40.77	40.78	67.14	2519.05	2519.94
259712176.00	0.78	40.85	40.86	57.87	2524.37	2525.03
259712288.00	1.04	40.91	40.93	76.90	2528.12	2529.29
259712384.00	0.89	41.04	41.05	66.19	2536.09	2536.95
259712480.00	0.86	40.58	40.59	63.91	2507.60	2508.41
259712480.00	-0.87	-41.16	41.17	-64.79	-2543.52	2544.34
259712576.00	0.72	40.91	40.92	53.58	2527.92	2528.48
259712688.00	0.92	40.97	40.98	68.51	2531.30	2532.23
259712784.00	0.92	41.06	41.07	67.83	2537.26	2538.17
259712896.00	0.66	41.09	41.10	49.02	2539.05	2539.52
259712976.00	0.80	40.74	40.75	59.17	2517.30	2517.99
